,Zt
2010-07-01,-0.11372874012128117
2010-10-01,0.8651671760304387
2011-01-01,1.1821517171396119
2011-04-01,1.0015471065368802
2011-07-01,0.09375961591159485
2011-10-01,-0.5823032544125422
2012-01-01,-0.6347764730640733
2012-04-01,0.21929980716446829
2012-07-01,0.027696923207984843
2012-10-01,0.40157783566878913
2013-01-01,-0.06983641248093789
2013-04-01,-0.09648129508605993
2013-07-01,0.9241708146806287
2013-10-01,0.7274941475493911
2014-01-01,0.8026843481338883
2014-04-01,0.42472612320356806
2014-07-01,-0.00540787907331184
2014-10-01,-0.19824528556089405
2015-01-01,-0.1723646623319386
2015-04-01,-0.5190771595058032
2015-07-01,-0.4450356839715522
2015-10-01,-0.009234433564489216
2016-01-01,0.03404562401512546
2016-04-01,0.2391462064402837
2016-07-01,-0.2229511472237993
2016-10-01,-0.7526579310500445
2017-01-01,-0.6205657318152548
2017-04-01,-0.3482685694783595
2017-07-01,-0.16269493434430873
2017-10-01,0.11062481474467982
2018-01-01,0.3410752251677037
2018-04-01,0.2803550735646863
2018-07-01,0.359940034723742
2018-10-01,-0.4713500188504814
2019-01-01,-0.9625216201544996
2019-04-01,-1.9279524318184587
2019-07-01,-1.7886850443110964
2019-10-01,-1.6635446974101584
2020-01-01,-1.1058855230447735
2020-04-01,0.09292161140303244
2020-07-01,0.734779782354898
2020-10-01,1.4350270349358776
2021-01-01,1.531982921729793
2021-04-01,1.3392696037322958
2021-07-01,0.8237921062034484
2021-10-01,-0.03247614304381457
2022-01-01,-0.030912797747071168
2022-04-01,0.22360353460384944
2022-07-01,-0.3951552919063135
2022-10-01,-0.7508959983260723
2023-01-01,-0.36432773209836616
2023-04-01,-1.6967523164427165
