,Zt
2010-07-01,1.4588672948628625
2010-10-01,-0.20591555292336447
2011-01-01,-0.996581241760598
2011-04-01,-0.8057725690777596
2011-07-01,-0.9644244241328394
2011-10-01,-0.8653633385105096
2012-01-01,-0.5255787235738366
2012-04-01,0.3694645299914006
2012-07-01,1.3228502116072165
2012-10-01,1.3004823305954414
2013-01-01,0.6407281820309368
2013-04-01,1.3205086922121554
2013-07-01,0.7404705947551801
2013-10-01,0.6883419072453829
2014-01-01,0.5589300949031729
2014-04-01,-0.09785465436189875
2014-07-01,-0.22713013865325737
2014-10-01,-0.42588072286953826
2015-01-01,-0.654308349187292
2015-04-01,-0.46647184623773696
2015-07-01,-0.3903290166875022
2015-10-01,-0.04617025575072229
2016-01-01,-0.22206531927938267
2016-04-01,0.42126641017368927
2016-07-01,0.09152247535865267
2016-10-01,-0.09430942219713213
2017-01-01,0.07354590183554964
2017-04-01,-0.30682156785863174
2017-07-01,-0.2175441337417247
2017-10-01,-0.198623498635785
2018-01-01,-0.2639478656632474
2018-04-01,-0.14457537936964188
2018-07-01,-0.13169515844804866
2018-10-01,-0.13614771174506518
2019-01-01,-0.7277755586708627
2019-04-01,-1.1857110695629387
2019-07-01,-1.0353773658721803
2019-10-01,-1.04318131006251
2020-01-01,-0.8888222829786321
2020-04-01,-0.5162126976843335
2020-07-01,0.33180434511962464
2020-10-01,0.43534604705814967
2021-01-01,0.7331120211798579
2021-04-01,0.8467654461765743
2021-07-01,0.002153475120867543
2021-10-01,-0.25247144987872566
2022-01-01,-0.06446816211521615
2022-04-01,-0.10646487182680016
2022-07-01,0.03478083154375378
2022-10-01,-0.008600127992026387
2023-01-01,-0.36986434799027096
2023-04-01,-2.5136214352769897
