year_quarter,sector,rating,next_rating,observed,recalculated
2010-07-01,public,A,A,1.0,0.7410222635354773
2010-07-01,public,A,AAA,0.0,0.00044030557527463543
2010-07-01,public,A,B,0.0,0.005557239684338612
2010-07-01,public,A,BB,0.0,0.021481921129890252
2010-07-01,public,A,BBB,0.0,0.228812505040865
2010-07-01,public,A,C,0.0,0.0026857650341542533
2010-07-01,public,A,D,0.0,0.0
2010-07-01,public,AAA,A,0.0,0.1830027247060239
2010-07-01,public,AAA,AAA,0.0,0.638109643291989
2010-07-01,public,AAA,B,0.0,0.0
2010-07-01,public,AAA,BB,0.0,0.08817934376254778
2010-07-01,public,AAA,BBB,0.0,0.03947552325771736
2010-07-01,public,AAA,C,0.0,0.05123276498172184
2010-07-01,public,AAA,D,0.0,0.0
2010-07-01,public,B,A,0.0,0.0
2010-07-01,public,B,AAA,0.0,1.3412503424237165e-05
2010-07-01,public,B,B,1.0,0.7462252506165282
2010-07-01,public,B,BB,0.0,0.0016082813145200658
2010-07-01,public,B,BBB,0.0,4.122565624542496e-05
2010-07-01,public,B,C,0.0,0.24213514179037113
2010-07-01,public,B,D,0.0,0.009976688118910922
2010-07-01,public,BB,A,0.0,2.4035778177111666e-05
2010-07-01,public,BB,AAA,0.0,4.2072060900455455e-05
2010-07-01,public,BB,B,0.0,0.23092578814366158
2010-07-01,public,BB,BB,0.0,0.745907453491927
2010-07-01,public,BB,BBB,0.0,0.003754556812277099
2010-07-01,public,BB,C,0.0,0.015841604385946974
2010-07-01,public,BB,D,0.0,0.00350448932710978
2010-07-01,public,BBB,A,0.0,0.005059146060953257
2010-07-01,public,BBB,AAA,0.0,0.0
2010-07-01,public,BBB,B,0.0,0.030753791760388005
2010-07-01,public,BBB,BB,0.0,0.17755151774113098
2010-07-01,public,BBB,BBB,1.0,0.7810782221657124
2010-07-01,public,BBB,C,0.0,0.005557322271815391
2010-07-01,public,BBB,D,0.0,0.0
2010-07-01,public,C,A,0.0,0.0
2010-07-01,public,C,AAA,0.0,0.0
2010-07-01,public,C,B,0.0,0.024168943307911195
2010-07-01,public,C,BB,0.0,0.00021649481288343875
2010-07-01,public,C,BBB,0.0,3.445970893345418e-05
2010-07-01,public,C,C,0.0,0.9336340389853074
2010-07-01,public,C,D,0.0,0.04194606318496453
2010-10-01,public,A,A,1.0,0.8602109596760641
2010-10-01,public,A,AAA,0.0,0.0019642552577296968
2010-10-01,public,A,B,0.0,0.0016265131873966971
2010-10-01,public,A,BB,0.0,0.007725183779253007
2010-10-01,public,A,BBB,0.0,0.12784574768430618
2010-10-01,public,A,C,0.0,0.0006273404152503959
2010-10-01,public,A,D,0.0,0.0
2010-10-01,public,AAA,A,0.0,0.12648963226227045
2010-10-01,public,AAA,AAA,0.0,0.7868949966387386
2010-10-01,public,AAA,B,0.0,0.0
2010-10-01,public,AAA,BB,0.0,0.04461927860257006
2010-10-01,public,AAA,BBB,1.0,0.023016714589943962
2010-10-01,public,AAA,C,0.0,0.018979377906476844
2010-10-01,public,AAA,D,0.0,0.0
2010-10-01,public,B,A,0.0,0.0
2010-10-01,public,B,AAA,0.0,7.940207285184187e-05
2010-10-01,public,B,B,1.0,0.8561397623714617
2010-10-01,public,B,BB,0.0,0.005686659953965334
2010-10-01,public,B,BBB,0.0,0.00020399536860293832
2010-10-01,public,B,C,0.0,0.13490324305971121
2010-10-01,public,B,D,0.0,0.0029869371734070034
2010-10-01,public,BB,A,0.0,0.00011782376160973662
2010-10-01,public,BB,AAA,0.0,0.00023481958962534577
2010-10-01,public,BB,B,0.0,0.12767093253294293
2010-10-01,public,BB,BB,1.0,0.8533752838743034
2010-10-01,public,BB,BBB,0.0,0.012430354650800668
2010-10-01,public,BB,C,0.0,0.005300306169164493
2010-10-01,public,BB,D,0.0,0.0008704794215534842
2010-10-01,public,BBB,A,0.0,0.016607409739733514
2010-10-01,public,BBB,AAA,0.0,0.0
2010-10-01,public,BBB,B,0.0,0.011192592364456962
2010-10-01,public,BBB,BB,0.0,0.09571829219002045
2010-10-01,public,BBB,BBB,1.0,0.8750468351385571
2010-10-01,public,BBB,C,0.0,0.0014348705672319981
2010-10-01,public,BBB,D,0.0,0.0
2010-10-01,public,C,A,0.0,0.0
2010-10-01,public,C,AAA,0.0,0.0
2010-10-01,public,C,B,0.0,0.05356929418391232
2010-10-01,public,C,BB,0.0,0.0007761178897844889
2010-10-01,public,C,BBB,0.0,0.00015149494807864539
2010-10-01,public,C,C,0.0,0.9274527576835873
2010-10-01,public,C,D,0.0,0.018050335294637253
2011-01-01,public,A,A,1.0,0.8441752978541706
2011-01-01,public,A,AAA,0.0,0.0015599137360151616
2011-01-01,public,A,B,0.0,0.0020120182687503874
2011-01-01,public,A,BB,0.0,0.009240766249890914
2011-01-01,public,A,BBB,0.0,0.14220763215507162
2011-01-01,public,A,C,0.0,0.0008043717361013438
2011-01-01,public,A,D,0.0,0.0
2011-01-01,public,AAA,A,0.0,0.13606104937804314
2011-01-01,public,AAA,AAA,0.0,0.7654247031576198
2011-01-01,public,AAA,B,0.0,0.0
2011-01-01,public,AAA,BB,0.0,0.0504906330908932
2011-01-01,public,AAA,BBB,0.0,0.025460062286289192
2011-01-01,public,AAA,C,0.0,0.022563552087154732
2011-01-01,public,AAA,D,0.0,0.0
2011-01-01,public,B,A,0.0,0.0
2011-01-01,public,B,AAA,0.0,6.0173655036632745e-05
2011-01-01,public,B,B,0.9523809523809523,0.8415414094747334
2011-01-01,public,B,BB,0.0,0.004685734429480171
2011-01-01,public,B,BBB,0.0,0.00015923887367919054
2011-01-01,public,B,C,0.047619047619047616,0.14987976290625735
2011-01-01,public,B,D,0.0,0.0036736806608132317
2011-01-01,public,BB,A,0.0,9.219050295894426e-05
2011-01-01,public,BB,AAA,0.0,0.0001797799736520389
2011-01-01,public,BB,B,0.0,0.1421656889798931
2011-01-01,public,BB,BB,1.0,0.8396889449893388
2011-01-01,public,BB,BBB,0.0,0.010357476174943314
2011-01-01,public,BB,C,0.0,0.006411386224693233
2011-01-01,public,BB,D,0.0,0.0011045331545206575
2011-01-01,public,BBB,A,0.08333333333333333,0.013857077595682776
2011-01-01,public,BBB,AAA,0.0,0.0
2011-01-01,public,BBB,B,0.0,0.01335912230310335
2011-01-01,public,BBB,BB,0.08333333333333333,0.10713592073823336
2011-01-01,public,BBB,BBB,0.8333333333333334,0.8638379863757083
2011-01-01,public,BBB,C,0.0,0.0018098929872722165
2011-01-01,public,BBB,D,0.0,0.0
2011-01-01,public,C,A,0.0,0.0
2011-01-01,public,C,AAA,0.0,0.0
2011-01-01,public,C,B,0.0,0.04746179461041933
2011-01-01,public,C,BB,0.0,0.0006364824579563333
2011-01-01,public,C,BBB,0.0,0.00012015247692409581
2011-01-01,public,C,C,0.0,0.9309136761006893
2011-01-01,public,C,D,0.0,0.02086789435401091
2011-04-01,public,A,A,1.0,0.9364140828474521
2011-04-01,public,A,AAA,0.0,0.00880176292494772
2011-04-01,public,A,B,0.0,0.00031026021763568847
2011-04-01,public,A,BB,0.0,0.0018723799297584924
2011-04-01,public,A,BBB,0.0,0.05250808112743449
2011-04-01,public,A,C,0.0,9.343295277147093e-05
2011-04-01,public,A,D,0.0,0.0
2011-04-01,public,AAA,A,0.0,0.06521863442328832
2011-04-01,public,AAA,AAA,1.0,0.9041703187600649
2011-04-01,public,AAA,B,0.0,0.0
2011-04-01,public,AAA,BB,0.0,0.0160485413207562
2011-04-01,public,AAA,BBB,0.0,0.009697677236175345
2011-04-01,public,AAA,C,0.0,0.004864828259715155
2011-04-01,public,AAA,D,0.0,0.0
2011-04-01,public,B,A,0.0,0.0
2011-04-01,public,B,AAA,0.0,0.000500418677149117
2011-04-01,public,B,B,0.9655172413793104,0.9212226251031008
2011-04-01,public,B,BB,0.0,0.019778883202275943
2011-04-01,public,B,BBB,0.0,0.0010356050901947356
2011-04-01,public,B,C,0.034482758620689655,0.0568559612231517
2011-04-01,public,B,D,0.0,0.0006065067041276721
2011-04-01,public,BB,A,0.0,0.0005827586218584146
2011-04-01,public,BB,AAA,0.0,0.0013670047118514717
2011-04-01,public,BB,B,0.1111111111111111,0.05239183651939901
2011-04-01,public,BB,BB,0.7777777777777778,0.9045840028517415
2011-04-01,public,BB,BBB,0.1111111111111111,0.03974020551453783
2011-04-01,public,BB,C,0.0,0.0011938663788492573
2011-04-01,public,BB,D,0.0,0.00014032540176258423
2011-04-01,public,BBB,A,0.043478260869565216,0.052671496854704736
2011-04-01,public,BBB,AAA,0.0,0.0
2011-04-01,public,BBB,B,0.0,0.0027625281753897108
2011-04-01,public,BBB,BB,0.0,0.0374577933450161
2011-04-01,public,BBB,BBB,0.9565217391304348,0.9068678876707378
2011-04-01,public,BBB,C,0.0,0.00024029395415165218
2011-04-01,public,BBB,D,0.0,0.0
2011-04-01,public,C,A,0.0,0.0
2011-04-01,public,C,AAA,0.0,0.0
2011-04-01,public,C,B,0.0,0.11556526701292591
2011-04-01,public,C,BB,0.0,0.002870095058198574
2011-04-01,public,C,BBB,0.0,0.0007132076221290085
2011-04-01,public,C,C,1.0,0.8749715090510736
2011-04-01,public,C,D,0.0,0.005879921255672937
