year_quarter,sector,rating,next_rating,observed,recalculated
2010-07-01,public,A,A,0.0,0.14942454775014624
2010-07-01,public,A,AAA,0.0,7.34627982801328e-06
2010-07-01,public,A,B,0.0,0.25186663615148486
2010-07-01,public,A,BB,0.0,0.0
2010-07-01,public,A,BBB,0.0,0.5987014698185409
2010-07-01,public,A,C,0.0,0.0
2010-07-01,public,A,D,0.0,0.0
2010-07-01,public,AAA,A,0.0,0.0
2010-07-01,public,AAA,AAA,0.0,1.0
2010-07-01,public,AAA,B,0.0,0.0
2010-07-01,public,AAA,BB,0.0,0.0
2010-07-01,public,AAA,BBB,0.0,0.0
2010-07-01,public,AAA,C,0.0,0.0
2010-07-01,public,AAA,D,0.0,0.0
2010-07-01,public,B,A,0.0,0.0
2010-07-01,public,B,AAA,0.0,0.0
2010-07-01,public,B,B,0.0,0.4780185869173116
2010-07-01,public,B,BB,0.0,0.0
2010-07-01,public,B,BBB,0.0,0.0
2010-07-01,public,B,C,0.0,0.22092057968641987
2010-07-01,public,B,D,0.0,0.30106083339626855
2010-07-01,public,BB,A,0.0,0.0
2010-07-01,public,BB,AAA,0.0,0.0
2010-07-01,public,BB,B,0.0,0.3494192299436711
2010-07-01,public,BB,BB,0.0,0.4101777760204066
2010-07-01,public,BB,BBB,0.0,0.0
2010-07-01,public,BB,C,0.0,0.2404029940359223
2010-07-01,public,BB,D,0.0,0.0
2010-07-01,public,BBB,A,0.0,1.6708663525766276e-05
2010-07-01,public,BBB,AAA,0.0,0.0
2010-07-01,public,BBB,B,0.0,0.0
2010-07-01,public,BBB,BB,0.0,0.681525566454753
2010-07-01,public,BBB,BBB,0.0,0.3184577248817212
2010-07-01,public,BBB,C,0.0,0.0
2010-07-01,public,BBB,D,0.0,0.0
2010-07-01,public,C,A,0.0,0.0
2010-07-01,public,C,AAA,0.0,0.0
2010-07-01,public,C,B,0.0,0.0
2010-07-01,public,C,BB,0.0,0.0
2010-07-01,public,C,BBB,0.0,0.0
2010-07-01,public,C,C,0.0,0.5194014651677106
2010-07-01,public,C,D,0.0,0.4805985348322894
2010-10-01,public,A,A,0.0,0.26227260256055296
2010-10-01,public,A,AAA,1.0,4.2367161370737705e-05
2010-10-01,public,A,B,0.0,0.1420227749957808
2010-10-01,public,A,BB,0.0,0.0
2010-10-01,public,A,BBB,0.0,0.5956622552822954
2010-10-01,public,A,C,0.0,0.0
2010-10-01,public,A,D,0.0,0.0
2010-10-01,public,AAA,A,0.0,0.0
2010-10-01,public,AAA,AAA,0.0,1.0
2010-10-01,public,AAA,B,0.0,0.0
2010-10-01,public,AAA,BB,0.0,0.0
2010-10-01,public,AAA,BBB,0.0,0.0
2010-10-01,public,AAA,C,0.0,0.0
2010-10-01,public,AAA,D,0.0,0.0
2010-10-01,public,B,A,0.0,0.0
2010-10-01,public,B,AAA,0.0,0.0
2010-10-01,public,B,B,1.0,0.5970732677433184
2010-10-01,public,B,BB,0.0,0.0
2010-10-01,public,B,BBB,0.0,0.0
2010-10-01,public,B,C,0.0,0.19746164519029058
2010-10-01,public,B,D,0.0,0.20546508706639105
2010-10-01,public,BB,A,0.0,0.0
2010-10-01,public,BB,AAA,0.0,0.0
2010-10-01,public,BB,B,0.0,0.2963141876538404
2010-10-01,public,BB,BB,0.0,0.5696804149684562
2010-10-01,public,BB,BBB,0.0,0.0
2010-10-01,public,BB,C,0.0,0.1340053973777034
2010-10-01,public,BB,D,0.0,0.0
2010-10-01,public,BBB,A,0.0,8.977190753234332e-05
2010-10-01,public,BBB,AAA,0.0,0.0
2010-10-01,public,BBB,B,0.0,0.0
2010-10-01,public,BBB,BB,0.0,0.5276328606206729
2010-10-01,public,BBB,BBB,0.0,0.4722773674717947
2010-10-01,public,BBB,C,0.0,0.0
2010-10-01,public,BBB,D,0.0,0.0
2010-10-01,public,C,A,0.0,0.0
2010-10-01,public,C,AAA,0.0,0.0
2010-10-01,public,C,B,0.0,0.0
2010-10-01,public,C,BB,0.0,0.0
2010-10-01,public,C,BBB,0.0,0.0
2010-10-01,public,C,C,0.0,0.6235571360621937
2010-10-01,public,C,D,0.0,0.37644286393780635
2011-01-01,public,A,A,0.5,0.48876193273431157
2011-01-01,public,A,AAA,0.5,0.00044779487428658893
2011-01-01,public,A,B,0.0,0.04643491622198527
2011-01-01,public,A,BB,0.0,0.0
2011-01-01,public,A,BBB,0.0,0.4643553561694166
2011-01-01,public,A,C,0.0,0.0
2011-01-01,public,A,D,0.0,0.0
2011-01-01,public,AAA,A,0.0,0.0
2011-01-01,public,AAA,AAA,0.0,1.0
2011-01-01,public,AAA,B,0.0,0.0
2011-01-01,public,AAA,BB,0.0,0.0
2011-01-01,public,AAA,BBB,0.0,0.0
2011-01-01,public,AAA,C,0.0,0.0
2011-01-01,public,AAA,D,0.0,0.0
2011-01-01,public,B,A,0.0,0.0
2011-01-01,public,B,AAA,0.0,0.0
2011-01-01,public,B,B,1.0,0.7583563389035178
2011-01-01,public,B,BB,0.0,0.0
2011-01-01,public,B,BBB,0.0,0.0
2011-01-01,public,B,C,0.0,0.1409315059113771
2011-01-01,public,B,D,0.0,0.10071215518510507
2011-01-01,public,BB,A,0.0,0.0
2011-01-01,public,BB,AAA,0.0,0.0
2011-01-01,public,BB,B,0.0,0.173299348137256
2011-01-01,public,BB,BB,0.0,0.7836954746646392
2011-01-01,public,BB,BBB,0.0,0.0
2011-01-01,public,BB,C,0.0,0.043005177198104864
2011-01-01,public,BB,D,0.0,0.0
2011-01-01,public,BBB,A,0.0,0.0008533977759608291
2011-01-01,public,BBB,AAA,0.0,0.0
2011-01-01,public,BBB,B,0.0,0.0
2011-01-01,public,BBB,BB,0.0,0.294649045234576
2011-01-01,public,BBB,BBB,0.0,0.7044975569894631
2011-01-01,public,BBB,C,0.0,0.0
2011-01-01,public,BBB,D,0.0,0.0
2011-01-01,public,C,A,0.0,0.0
2011-01-01,public,C,AAA,0.0,0.0
2011-01-01,public,C,B,0.0,0.0
2011-01-01,public,C,BB,0.0,0.0
2011-01-01,public,C,BBB,0.0,0.0
2011-01-01,public,C,C,1.0,0.763483578748793
2011-01-01,public,C,D,0.0,0.23651642125120703
2011-04-01,public,A,A,0.5,0.7953127799410364
2011-04-01,public,A,AAA,0.5,0.1974140411955958
2011-04-01,public,A,B,0.0,1.6552680195269795e-05
2011-04-01,public,A,BB,0.0,0.0
2011-04-01,public,A,BBB,0.0,0.0072566261831724915
