year_quarter,sector,rating,next_rating,observed,recalculated
2010-07-01,public,A,A,1.0,0.6630528310096099
2010-07-01,public,A,AAA,0.0,0.0021241198316237497
2010-07-01,public,A,B,0.0,0.0
2010-07-01,public,A,BB,0.0,0.0
2010-07-01,public,A,BBB,0.0,0.3348230491587664
2010-07-01,public,A,C,0.0,0.0
2010-07-01,public,A,D,0.0,0.0
2010-07-01,public,AAA,A,0.0,0.5555906336840556
2010-07-01,public,AAA,AAA,0.0,0.4444093663159444
2010-07-01,public,AAA,B,0.0,0.0
2010-07-01,public,AAA,BB,0.0,0.0
2010-07-01,public,AAA,BBB,0.0,0.0
2010-07-01,public,AAA,C,0.0,0.0
2010-07-01,public,AAA,D,0.0,0.0
2010-07-01,public,B,A,0.0,6.371443740160743e-06
2010-07-01,public,B,AAA,0.0,0.0
2010-07-01,public,B,B,0.0,0.7442086560089434
2010-07-01,public,B,BB,0.0,0.0006693914255082589
2010-07-01,public,B,BBB,0.0,0.0
2010-07-01,public,B,C,0.0,0.24697420953513063
2010-07-01,public,B,D,0.0,0.008141371586677566
2010-07-01,public,BB,A,0.0,6.544466068614252e-05
2010-07-01,public,BB,AAA,0.0,0.0
2010-07-01,public,BB,B,0.0,0.25981200673199617
2010-07-01,public,BB,BB,0.0,0.7020948721311582
2010-07-01,public,BB,BBB,0.0,0.0032528411292291892
2010-07-01,public,BB,C,0.0,0.034774835346930315
2010-07-01,public,BB,D,0.0,0.0
2010-07-01,public,BBB,A,0.0,0.0017241041924646039
2010-07-01,public,BBB,AAA,0.0,0.0
2010-07-01,public,BBB,B,0.0,0.037921001783043154
2010-07-01,public,BBB,BB,0.0,0.15791942612309895
2010-07-01,public,BBB,BBB,1.0,0.7802526702386134
2010-07-01,public,BBB,C,0.0,0.022182797662779908
2010-07-01,public,BBB,D,0.0,0.0
2010-07-01,public,C,A,0.0,0.0
2010-07-01,public,C,AAA,0.0,0.0
2010-07-01,public,C,B,0.0,0.03872610345567373
2010-07-01,public,C,BB,0.0,0.0
2010-07-01,public,C,BBB,0.0,0.0
2010-07-01,public,C,C,0.0,0.8220945481735438
2010-07-01,public,C,D,0.0,0.13917934837078244
2010-10-01,public,A,A,1.0,0.6794399913455965
2010-10-01,public,A,AAA,0.0,0.002456052542119447
2010-10-01,public,A,B,0.0,0.0
2010-10-01,public,A,BB,0.0,0.0
2010-10-01,public,A,BBB,0.0,0.31810395611228404
2010-10-01,public,A,C,0.0,0.0
2010-10-01,public,A,D,0.0,0.0
2010-10-01,public,AAA,A,0.0,0.5372172236131907
2010-10-01,public,AAA,AAA,0.0,0.4627827763868093
2010-10-01,public,AAA,B,0.0,0.0
2010-10-01,public,AAA,BB,0.0,0.0
2010-10-01,public,AAA,BBB,0.0,0.0
2010-10-01,public,AAA,C,0.0,0.0
2010-10-01,public,AAA,D,0.0,0.0
2010-10-01,public,B,A,0.0,7.829514622970102e-06
2010-10-01,public,B,AAA,0.0,0.0
2010-10-01,public,B,B,0.0,0.7584138745954159
2010-10-01,public,B,BB,0.0,0.0007822580958930514
2010-10-01,public,B,BBB,0.0,0.0
2010-10-01,public,B,C,1.0,0.23360910725498873
2010-10-01,public,B,D,0.0,0.007186930539079306
2010-10-01,public,BB,A,0.0,7.891782458857577e-05
2010-10-01,public,BB,AAA,0.0,0.0
2010-10-01,public,BB,B,0.0,0.24744331741072784
2010-10-01,public,BB,BB,1.0,0.7173859363651411
2010-10-01,public,BB,BBB,0.0,0.0037342832287288186
2010-10-01,public,BB,C,0.0,0.031357545170813614
2010-10-01,public,BB,D,0.0,0.0
