rating_prev,rating,p_ttc
AAA,AAA,0.9812675616609429
AA,AAA,0.0
A,AAA,0.004321432246115855
BBB,AAA,2.464025231618372e-05
BB,AAA,0.0
B,AAA,0.0
C,AAA,0.0
D,AAA,0.0
AAA,AA,0.0
AA,AA,1.0
A,AA,0.0
BBB,AA,0.0
BB,AA,0.0
B,AA,0.0
C,AA,0.0
D,AA,0.0
AAA,A,0.018420231033406183
AA,A,0.0
A,A,0.9797304249408375
BBB,A,0.009757539917208752
BB,A,0.0001741515553910791
B,A,3.252138280919705e-05
C,A,0.0
D,A,0.0
AAA,BBB,0.00031220730565095225
AA,BBB,0.0
A,BBB,0.015570874918544432
BBB,BBB,0.9781194559432289
BB,BBB,0.00949125976881381
B,BBB,0.00022764967966437932
C,BBB,0.00010681478316599017
D,BBB,0.0
AAA,BB,0.0
AA,BB,0.0
A,BB,0.0003429708131837981
BBB,BB,0.011802680859452
BB,BB,0.9787752791867123
B,BB,0.009853978991186705
C,BB,0.0005340739158299509
D,BB,0.0
AAA,B,0.0
AA,B,0.0
A,B,3.4297081318379805e-05
BBB,B,0.00019712201852946975
BB,B,0.011341620044844026
B,B,0.9832514878532636
C,B,0.015701773125400557
D,B,0.0
AAA,C,0.0
AA,C,0.0
A,C,0.0
BBB,C,7.392075694855116e-05
BB,C,0.0001523826109671942
B,C,0.006406712413411818
C,C,0.9809869685964537
D,C,0.0
AAA,D,0.0
AA,D,0.0
A,D,0.0
BBB,D,2.464025231618372e-05
BB,D,6.530683327165465e-05
B,D,0.00022764967966437932
C,D,0.0026703695791497543
D,D,1.0
