date_q,econ_group,Z_group
2011-04-01,Autres,-0.058739863719429214
2011-07-01,Autres,-0.058739863719429214
2011-10-01,Autres,-0.058739863719429214
2012-01-01,Autres,-0.08683491778710346
2012-04-01,Autres,0.708281415406669
2012-07-01,Autres,1.2959801436203604
2012-10-01,Autres,1.7730288989317275
2013-01-01,Autres,-0.06005938045115066
2013-04-01,Autres,-0.06005938045115066
2013-07-01,Autres,0.9879623017242363
2013-10-01,Autres,-0.03744793554644025
2014-01-01,Autres,0.7965532843269753
2014-04-01,Autres,-0.003848320266698671
2014-07-01,Autres,-1.0410219134641492
2014-10-01,Autres,0.5359895084190187
2015-01-01,Autres,-0.8184735549708604
2015-04-01,Autres,-0.052989596544433304
2015-07-01,Autres,1.731051113220162
2015-10-01,Autres,-0.020634948115168035
2016-01-01,Autres,1.7496619483158973
2016-04-01,Autres,-0.008212562776366453
2016-07-01,Autres,-0.8048401985921818
2016-10-01,Autres,-0.7681824571896508
2017-01-01,Autres,-0.9670419920386785
2017-04-01,Autres,-0.75213394350993
2017-07-01,Autres,-1.4461994147287172
2017-10-01,Autres,-1.8611797092816367
2018-01-01,Autres,0.5984330338137485
2018-04-01,Autres,-0.7647448972428301
2018-07-01,Autres,-0.7439192025909628
2018-10-01,Autres,-0.09507695862483379
2019-01-01,Autres,-0.7184268129128593
2019-04-01,Autres,-0.702409632922981
2019-07-01,Autres,0.5080276652072981
2019-10-01,Autres,-0.09572987923663084
2020-01-01,Autres,1.2034844962318274
2020-04-01,Autres,1.2057883578986133
2020-07-01,Autres,1.2946953767688185
2020-10-01,Autres,0.17433589877474032
2021-01-01,Autres,0.006642558342812317
2021-04-01,Autres,-1.7587578954474834
2021-07-01,Autres,-1.9274355237981844
2021-10-01,Autres,-0.9222763961194721
2022-01-01,Autres,-2.0613894478213615
2022-04-01,Autres,-2.076031554560125
2022-07-01,Autres,-0.7570329337379582
2022-10-01,Autres,-0.5960535030749697
2023-01-01,Autres,-0.09939171232572859
2023-04-01,Autres,0.4016320787148502
2023-07-01,Autres,-0.09216568488836792
2023-10-01,Autres,-0.09216568488836792
2024-01-01,Autres,0.3999149465115408
2011-01-01,Construction & immobilier,-0.058739863719429214
2011-04-01,Construction & immobilier,-2.0549361883329627
2011-07-01,Construction & immobilier,-0.0607266778453282
2011-10-01,Construction & immobilier,-0.05755552415986856
2012-01-01,Construction & immobilier,-0.07041276491746735
2012-04-01,Construction & immobilier,-0.4963427435637086
2012-07-01,Construction & immobilier,-0.4363875289554561
2012-10-01,Construction & immobilier,0.0036488638783111014
2013-01-01,Construction & immobilier,-0.0015236268071997256
2013-04-01,Construction & immobilier,-0.6916028588903491
2013-07-01,Construction & immobilier,-0.6754957842306685
