sector,quarter,z_hat,nll,success,n_obs_cells,n_total,z_std
CONSTRUCTION & IMMOBILIER,2011-04-01,-5.999993550114001,0.711687041663492,True,1,1,-5.316023012007107
CONSTRUCTION & IMMOBILIER,2011-07-01,-0.08728126817252468,0.10295878851199616,True,2,10,0.33316186204335735
CONSTRUCTION & IMMOBILIER,2011-10-01,-0.06356359736524213,0.1800224763056916,True,3,18,0.35582244500144
CONSTRUCTION & IMMOBILIER,2012-01-01,-0.06713707939191628,0.2207827348661395,True,3,22,0.3524082317520596
CONSTRUCTION & IMMOBILIER,2012-04-01,-0.06909982105949217,0.24152838377133806,True,3,24,0.3505329687574433
CONSTRUCTION & IMMOBILIER,2012-07-01,-1.1453836394325436,4.937326262555575,True,5,51,-0.6777812763831762
CONSTRUCTION & IMMOBILIER,2012-10-01,-0.04149419154358033,11.094866441924374,True,7,56,0.37690822553701436
CONSTRUCTION & IMMOBILIER,2013-01-01,-0.02960521207119501,0.6160092870378493,True,5,64,0.3882673175747623
CONSTRUCTION & IMMOBILIER,2013-04-01,-0.9815581160110608,5.200517226578072,True,6,63,-0.5212573961797321
CONSTRUCTION & IMMOBILIER,2013-07-01,-1.5418819231095964,8.861980741807102,True,7,62,-1.0566077776449447
CONSTRUCTION & IMMOBILIER,2013-10-01,-0.056396316143201335,0.6452534034011331,True,5,66,0.3626702831401704
CONSTRUCTION & IMMOBILIER,2014-01-01,-0.056396316143201335,0.6452534034011331,True,5,66,0.3626702831401704
CONSTRUCTION & IMMOBILIER,2014-04-01,-0.982279654531497,5.259710223337314,True,6,65,-0.5219467759941605
CONSTRUCTION & IMMOBILIER,2014-07-01,-0.977955748359989,5.219521090528954,True,6,65,-0.5178155847275906
CONSTRUCTION & IMMOBILIER,2014-10-01,-1.4693129654898465,9.09071314751128,True,6,68,-0.9872731917285658
CONSTRUCTION & IMMOBILIER,2015-01-01,-1.24055930723485,20.002796303387456,True,8,74,-0.7687149997386268
CONSTRUCTION & IMMOBILIER,2015-04-01,-1.4008357613223343,9.268799869419391,True,6,76,-0.9218479913206484
CONSTRUCTION & IMMOBILIER,2015-07-01,-1.1747773110889015,21.011441494652278,True,8,78,-0.7058648829237906
CONSTRUCTION & IMMOBILIER,2015-10-01,-1.3308620565631235,9.443221311442482,True,7,82,-0.8549929888010248
CONSTRUCTION & IMMOBILIER,2016-01-01,-0.10043743954482008,0.8807441008931869,True,5,88,0.3205920563817866
CONSTRUCTION & IMMOBILIER,2016-04-01,-0.8195615050825235,5.622373495663056,True,6,89,-0.36648091451327824
CONSTRUCTION & IMMOBILIER,2016-07-01,-1.121516802569813,9.489876658666397,True,7,110,-0.6549781756457772
CONSTRUCTION & IMMOBILIER,2016-10-01,-0.7974554886359698,11.362991769588312,True,8,194,-0.34536015507487444
CONSTRUCTION & IMMOBILIER,2017-01-01,-0.12081724959194684,12.63851249860409,True,8,210,0.30112056695960104
CONSTRUCTION & IMMOBILIER,2017-04-01,0.20086640837742276,6.921524877659814,True,7,217,0.6084669028163291
CONSTRUCTION & IMMOBILIER,2017-07-01,-0.15128021539887876,13.438765271498584,True,8,228,0.2720153243147265
CONSTRUCTION & IMMOBILIER,2017-10-01,0.2040812908670603,7.335833452788374,True,7,227,0.611538499177914
CONSTRUCTION & IMMOBILIER,2018-01-01,-0.11683977598719633,2.2729878893298134,True,6,228,0.304920766031272
CONSTRUCTION & IMMOBILIER,2018-04-01,-0.1245483011201597,2.348196882688275,True,6,236,0.2975558070233097
CONSTRUCTION & IMMOBILIER,2018-07-01,0.4381326016857871,11.485215830244687,True,7,236,0.8351582293087166
CONSTRUCTION & IMMOBILIER,2018-10-01,-0.11796963800378851,12.86999948840269,True,8,236,0.3038412615484662
CONSTRUCTION & IMMOBILIER,2019-01-01,-0.4354498924992385,7.314565687676122,True,7,233,0.0005109850215523581
CONSTRUCTION & IMMOBILIER,2019-04-01,-0.42092720964716984,6.703780085621445,True,7,231,0.014386397249728539
CONSTRUCTION & IMMOBILIER,2019-07-01,0.006008380104717301,17.957801436559986,True,8,220,0.42229362506907936
CONSTRUCTION & IMMOBILIER,2019-10-01,0.7212847348591616,15.76610431019533,True,8,215,1.1056903762328214
CONSTRUCTION & IMMOBILIER,2020-01-01,1.9472645751872293,47.3344137346244,True,9,211,2.2770287467848207
CONSTRUCTION & IMMOBILIER,2020-04-01,1.1508677337244837,49.8042586156254,True,9,214,1.5161270191168486
CONSTRUCTION & IMMOBILIER,2020-07-01,0.7387064480947537,37.72632615284218,True,10,353,1.1223356101284634
CONSTRUCTION & IMMOBILIER,2020-10-01,0.36292279871078725,88.6864684382038,True,12,382,0.7633004995415624
CONSTRUCTION & IMMOBILIER,2021-01-01,-0.08357655323212729,14.417676112688769,True,8,394,0.33670145920384864
CONSTRUCTION & IMMOBILIER,2021-04-01,-0.3750093851461551,67.02267883531842,True,12,390,0.05825768123097126
CONSTRUCTION & IMMOBILIER,2021-07-01,-1.0833329149081898,35.59143132924789,True,9,411,-0.6184961297885324
CONSTRUCTION & IMMOBILIER,2021-10-01,-1.4509989088339745,66.21238831806278,True,12,418,-0.9697753858301053
CONSTRUCTION & IMMOBILIER,2022-01-01,-0.6859789861841329,44.56977132562123,True,12,428,-0.2388521192642458
CONSTRUCTION & IMMOBILIER,2022-04-01,-0.5729295972960959,29.522247591406476,True,11,441,-0.13084129998635485
CONSTRUCTION & IMMOBILIER,2022-07-01,-0.26710114186611,19.47542241070234,True,10,447,0.1613564938663841
CONSTRUCTION & IMMOBILIER,2022-10-01,-0.44484508075410223,24.793562626104933,True,10,434,-0.008465463154411525
CONSTRUCTION & IMMOBILIER,2023-01-01,-0.4573852320791185,14.273330223350328,True,7,436,-0.020446704555240287
CONSTRUCTION & IMMOBILIER,2023-04-01,0.04966937061756807,9.565598510563133,True,7,445,0.46400866132148916
CONSTRUCTION & IMMOBILIER,2023-07-01,0.05040307700552558,9.539037153962468,True,7,437,0.46470966668606656
CONSTRUCTION & IMMOBILIER,2023-10-01,0.049214778041321586,9.421223070819057,True,7,431,0.46357432976887314
CONSTRUCTION & IMMOBILIER,2024-01-01,-0.12629218905505926,4.153071985972229,True,6,424,0.29588964353114006
FINANCE,2011-04-01,-0.8354121592854821,0.022800473993042265,True,3,6,-0.6403313673153729
FINANCE,2011-07-01,-0.41486196859280977,0.11632715346179986,True,5,16,-0.10853318072021778
FINANCE,2011-10-01,-0.3652353492421865,0.19260076474380514,True,5,24,-0.04577884898625443
FINANCE,2012-01-01,-0.24568298046067313,0.37309153416124363,True,7,44,0.10539866639293863
FINANCE,2012-04-01,0.6174513990361068,5.163388344091818,True,8,73,1.1968576835635139
FINANCE,2012-07-01,1.1962956023547224,17.47812701900899,True,10,136,1.9288233429749262
FINANCE,2012-10-01,0.16695281842391899,28.36328664166912,True,12,137,0.6271888698633964
FINANCE,2013-01-01,-1.607567661946769,16.320601345153325,True,9,146,-1.6167448969547444
FINANCE,2013-04-01,-1.5363904829014108,28.142103484403656,True,10,146,-1.5267392434537064
FINANCE,2013-07-01,-1.4659981266866131,28.134961616357792,True,10,162,-1.4377260216940573
FINANCE,2013-10-01,-1.9122576050131783,23.96090255401311,True,9,164,-2.002034364853019
FINANCE,2014-01-01,-1.9369898028686774,25.432939904490148,True,10,164,-2.03330896241866
FINANCE,2014-04-01,-1.355652896486702,14.085315195785386,True,7,167,-1.2981912060681606
FINANCE,2014-07-01,-0.5972266302339764,26.839900771282153,True,8,167,-0.33913870297685356
FINANCE,2014-10-01,-1.1359372989290966,12.077904777642672,True,6,174,-1.0203543177877021
