rating_prev,rating,barrier_phi_inv_cumprob
AAA,AAA,2.514938353054209
AA,AAA,-6.361340902404056
A,AAA,-3.0039813546929466
BBB,AAA,-4.350229354981224
BB,AAA,-6.361340902404056
B,AAA,-6.361340902404056
C,AAA,-6.361340902404056
D,AAA,-6.361340902404056
AAA,AA,2.514938353054209
AA,AA,-6.361340902404056
A,AA,-3.0039813546929466
BBB,AA,-4.350229354981224
BB,AA,-6.361340902404056
B,AA,-6.361340902404056
C,AA,-6.361340902404056
D,AA,-6.361340902404056
AAA,A,3.735308303228749
AA,A,-6.361340902404056
A,A,2.595085524831174
BBB,A,-2.774927254739414
BB,A,-3.8836970762481324
B,A,-4.298782783059995
C,A,-6.361340902404056
D,A,-6.361340902404056
AAA,BBB,6.361340889697422
AA,BBB,-6.361340902404056
A,BBB,3.7185689239197424
BBB,BBB,2.7012202669331327
BB,BBB,-2.7879642790473547
B,BBB,-3.883311999539235
C,BBB,-4.01170848271887
D,BBB,-6.361340902404056
AAA,BB,6.361340889697422
AA,BB,-6.361340902404056
A,BB,4.264495225968946
BBB,BB,3.770081485325895
BB,BB,2.7354259685380162
B,BB,-2.773413447204487
C,BB,-3.6715078865712476
D,BB,-6.361340902404056
AAA,B,6.361340889697422
AA,B,-6.361340902404056
A,B,6.361340889697422
BBB,B,4.035879702303384
BB,B,3.8346517773502646
B,B,2.906237746569662
C,B,-2.579789029100085
D,B,-6.361340902404056
AAA,C,6.361340889697422
AA,C,-6.361340902404056
A,C,6.361340889697422
BBB,C,4.350229354980911
BB,C,4.1429053064423655
B,C,3.883311999539406
C,C,3.161924185877088
D,C,-6.361340902404056
AAA,D,6.361340889697422
AA,D,-6.361340902404056
A,D,6.361340889697422
BBB,D,6.361340889697422
BB,D,6.361340889697422
B,D,6.361340889697422
C,D,6.361340889697422
D,D,6.361340889697422
