sector,quarter,rating_prev,rating,n
CONSTRUCTION & IMMOBILIER,2011-04-01,BB,BB,0
CONSTRUCTION & IMMOBILIER,2011-04-01,BB,BBB,1
CONSTRUCTION & IMMOBILIER,2011-07-01,BB,BB,2
CONSTRUCTION & IMMOBILIER,2011-07-01,BBB,BBB,8
CONSTRUCTION & IMMOBILIER,2011-10-01,B,B,2
CONSTRUCTION & IMMOBILIER,2011-10-01,BB,BB,4
CONSTRUCTION & IMMOBILIER,2011-10-01,BBB,BBB,12
CONSTRUCTION & IMMOBILIER,2012-01-01,B,B,2
CONSTRUCTION & IMMOBILIER,2012-01-01,BB,BB,6
CONSTRUCTION & IMMOBILIER,2012-01-01,BBB,BBB,14
CONSTRUCTION & IMMOBILIER,2012-04-01,B,B,2
CONSTRUCTION & IMMOBILIER,2012-04-01,BB,BB,6
CONSTRUCTION & IMMOBILIER,2012-04-01,BBB,BBB,16
CONSTRUCTION & IMMOBILIER,2012-07-01,A,A,2
CONSTRUCTION & IMMOBILIER,2012-07-01,B,B,12
CONSTRUCTION & IMMOBILIER,2012-07-01,B,BB,1
CONSTRUCTION & IMMOBILIER,2012-07-01,BB,BB,14
CONSTRUCTION & IMMOBILIER,2012-07-01,BBB,BBB,22
CONSTRUCTION & IMMOBILIER,2012-10-01,A,A,2
CONSTRUCTION & IMMOBILIER,2012-10-01,B,B,10
CONSTRUCTION & IMMOBILIER,2012-10-01,B,BB,1
CONSTRUCTION & IMMOBILIER,2012-10-01,BB,B,1
CONSTRUCTION & IMMOBILIER,2012-10-01,BB,BB,16
CONSTRUCTION & IMMOBILIER,2012-10-01,BBB,BBB,24
CONSTRUCTION & IMMOBILIER,2012-10-01,C,C,2
CONSTRUCTION & IMMOBILIER,2013-01-01,A,A,2
CONSTRUCTION & IMMOBILIER,2013-01-01,B,B,14
CONSTRUCTION & IMMOBILIER,2013-01-01,BB,BB,22
CONSTRUCTION & IMMOBILIER,2013-01-01,BBB,BBB,24
CONSTRUCTION & IMMOBILIER,2013-01-01,C,C,2
CONSTRUCTION & IMMOBILIER,2013-04-01,A,A,2
CONSTRUCTION & IMMOBILIER,2013-04-01,B,B,12
CONSTRUCTION & IMMOBILIER,2013-04-01,B,BB,1
CONSTRUCTION & IMMOBILIER,2013-04-01,BB,BB,22
CONSTRUCTION & IMMOBILIER,2013-04-01,BBB,BBB,24
CONSTRUCTION & IMMOBILIER,2013-04-01,C,C,2
CONSTRUCTION & IMMOBILIER,2013-07-01,A,A,4
CONSTRUCTION & IMMOBILIER,2013-07-01,B,B,10
CONSTRUCTION & IMMOBILIER,2013-07-01,B,BB,1
CONSTRUCTION & IMMOBILIER,2013-07-01,BB,BB,22
CONSTRUCTION & IMMOBILIER,2013-07-01,BB,BBB,1
CONSTRUCTION & IMMOBILIER,2013-07-01,BBB,BBB,22
CONSTRUCTION & IMMOBILIER,2013-07-01,C,C,2
CONSTRUCTION & IMMOBILIER,2013-10-01,A,A,4
CONSTRUCTION & IMMOBILIER,2013-10-01,B,B,10
CONSTRUCTION & IMMOBILIER,2013-10-01,BB,BB,24
CONSTRUCTION & IMMOBILIER,2013-10-01,BBB,BBB,26
CONSTRUCTION & IMMOBILIER,2013-10-01,C,C,2
CONSTRUCTION & IMMOBILIER,2014-01-01,A,A,4
CONSTRUCTION & IMMOBILIER,2014-01-01,B,B,10
CONSTRUCTION & IMMOBILIER,2014-01-01,BB,BB,24
CONSTRUCTION & IMMOBILIER,2014-01-01,BBB,BBB,26
CONSTRUCTION & IMMOBILIER,2014-01-01,C,C,2
CONSTRUCTION & IMMOBILIER,2014-04-01,A,A,4
CONSTRUCTION & IMMOBILIER,2014-04-01,B,B,10
CONSTRUCTION & IMMOBILIER,2014-04-01,BB,BB,22
CONSTRUCTION & IMMOBILIER,2014-04-01,BB,BBB,1
CONSTRUCTION & IMMOBILIER,2014-04-01,BBB,BBB,26
CONSTRUCTION & IMMOBILIER,2014-04-01,C,C,2
CONSTRUCTION & IMMOBILIER,2014-07-01,A,A,4
CONSTRUCTION & IMMOBILIER,2014-07-01,B,B,8
CONSTRUCTION & IMMOBILIER,2014-07-01,B,BB,1
CONSTRUCTION & IMMOBILIER,2014-07-01,BB,BB,22
